OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,DepDel15,WindSpeed,SeaLevelPressure,HourlyPrecip
MCO,5,4,8,6,DL,CVG,0,0,29,0
ORF,5,6,7,1,YV,ORD,0,9,29,0
DTW,5,1,21,3,DL,LAS,0,9,30,0
IAH,5,3,17,5,UA,MSY,0,17,30,0
ORD,5,26,18,7,AA,BOS,0,8,30,0
MSY,5,10,17,5,EV,MEM,0,15,29,0
EWR,5,23,7,4,DL,ATL,0,13,29,0
LGA,5,21,16,2,DL,DTW,0,15,29,0
ATL,5,9,16,4,DL,DFW,0,9,30,0
BWI,5,14,11,2,WN,BNA,0,11,30,0
CLE,5,9,19,4,EV,RIC,1,6,29,0
LAX,5,2,23,4,VX,EWR,0,0,30,0
LAX,5,21,6,2,UA,ORD,0,6,29,0
SFO,5,18,8,6,OO,PHX,0,14,30,0
ATL,5,2,17,4,DL,FLL,0,21,30,0
SAN,5,14,15,2,WN,SMF,0,8,29,0
MCO,5,13,9,1,DL,MSP,0,11,30,0
BWI,5,14,14,2,AA,DFW,0,7,30,0
BOS,5,17,8,5,B6,RDU,0,13,29,0
IAH,5,17,15,5,UA,MSY,0,11,29,0
BWI,5,15,17,3,FL,ATL,0,6,29,0
HOU,5,29,6,3,WN,STL,0,6,29,0
SJU,5,29,12,3,B6,JAX,0,16,30,0
PIT,5,12,17,7,9E,DTW,0,21,30,0
SJU,5,10,20,5,B6,TPA,1,16,29,0
IAH,5,16,6,4,UA,CLE,0,6,29,0
DCA,5,27,20,1,AA,ORD,1,5,30,0
IAH,5,24,21,5,UA,ORD,0,5,30,0
PHX,5,21,6,2,US,CLT,0,5,29,0
PHX,5,14,12,2,DL,DTW,0,0,29,0
OAK,5,10,15,5,WN,BUR,0,16,29,0
LAX,5,11,13,6,VX,JFK,1,14,29,0
IAH,5,8,21,3,UA,PHX,0,9,29,0
BOS,5,19,8,7,B6,LAX,0,0,30,0
IAH,5,23,18,4,UA,SNA,0,16,29,0
CMH,5,7,9,2,WN,DEN,1,7,29,0
PHX,5,22,8,3,US,FLL,0,11,29,0
AUS,5,9,11,4,WN,SAN,1,16,29,0
DAL,5,2,17,4,WN,STL,1,20,30,0
OAK,5,3,11,5,B6,LGB,0,6,29,0
LAX,5,29,8,3,WN,SAT,0,0,29,0
MCO,5,4,7,6,B6,JFK,0,0,29,0
LAS,5,12,15,7,WN,BUR,0,5,29,0
HOU,5,25,11,6,WN,BNA,1,9,30,0
ATL,5,11,13,6,DL,ORD,0,10,29,0
LAS,5,17,16,5,DL,SLC,1,13,29,0
SAN,5,10,16,5,US,PHX,0,10,30,0
RIC,5,4,14,6,DL,ATL,0,11,29,0
SFO,5,13,15,1,UA,IAH,0,24,30,0
MSP,5,22,13,3,DL,BOS,0,14,29,0
SLC,5,22,20,3,OO,ABQ,0,21,29,0
MCO,5,23,19,4,B6,EWR,1,17,29,0
JFK,5,26,16,7,B6,LAX,0,22,30,0
DTW,5,25,10,6,9E,PHL,0,3,30,0
SFO,5,4,9,6,VX,LAS,0,5,29,0
RSW,5,16,18,4,B6,BOS,1,9,30,0
TPA,5,18,8,6,DL,ATL,0,5,30,0
JFK,5,31,6,5,B6,SJU,0,10,30,0
MDW,5,14,21,2,WN,CMH,0,7,29,0
ORD,5,21,14,2,AA,LAX,0,17,29,0
ORD,5,6,17,1,US,CLT,0,10,29,0
JFK,5,22,13,3,B6,MCO,0,6,29,0
PHX,5,17,13,5,US,SMF,0,13,29,0
ATL,5,21,19,2,EV,IAD,1,8,29,0
EWR,5,24,6,5,UA,BOS,0,5,29,0
TPA,5,15,6,3,DL,ATL,0,0,30,0
ATL,5,29,16,3,AA,MIA,0,10,30,0
MSP,5,3,15,5,DL,MCI,0,15,30,0
SMF,5,30,15,4,WN,SNA,0,6,29,0
CLT,5,31,11,5,EV,MSP,0,8,30,0
BOS,5,7,8,2,VX,SFO,0,5,30,0
OAK,5,29,9,3,WN,SEA,0,14,29,0
MDW,5,4,18,6,WN,MSP,0,8,29,0
ORD,5,24,8,5,MQ,EWR,1,10,30,0
SNA,5,3,8,5,DL,ATL,0,0,29,0
IAH,5,14,17,2,UA,LAX,0,20,30,0
ATL,5,7,14,2,EV,CLE,0,10,29,0
EWR,5,3,15,5,UA,ORD,1,10,30,0
MCO,5,16,7,4,DL,LGA,0,5,30,0
DCA,5,7,15,2,AA,MIA,0,10,29,0
TPA,5,22,12,3,DL,JFK,1,6,29,0
MSP,5,11,19,6,AS,SEA,0,17,30,0
RNO,5,5,6,7,AA,DFW,0,6,29,0
FLL,5,9,6,4,B6,JFK,0,6,30,0
PHX,5,17,5,5,AA,DFW,0,9,29,0
EWR,5,13,6,1,EV,DTW,0,8,30,0
CLT,5,6,19,1,YV,MEM,1,3,29,0
PHX,5,4,8,6,WN,LAS,0,14,29,0
BWI,5,1,18,3,WN,PVD,0,8,30,0
MSP,5,28,17,2,DL,ATL,0,3,29,0
CLT,5,14,20,2,US,PIT,0,8,30,0
IAD,5,24,13,5,UA,HNL,0,23,30,0
IAH,5,1,16,3,UA,LGA,0,0,29,0
MSP,5,10,17,5,DL,DTW,0,11,29,0
PHX,5,28,13,2,AA,ORD,0,8,29,0
OKC,5,10,6,5,DL,ATL,0,11,29,0
SFO,5,27,23,1,UA,ORD,1,3,30,0
PDX,5,7,7,2,UA,DEN,0,0,29,0
ORD,5,6,11,1,AA,MSP,0,13,30,0
PHX,5,18,14,6,WN,LAS,0,5,29,0
PHL,5,20,7,1,WN,FLL,0,5,29,0
TPA,5,26,10,7,US,CLT,0,6,30,0
MSP,5,3,17,5,9E,CVG,0,15,30,0
IAH,5,30,22,4,OO,AUS,0,6,29,0
BWI,5,19,13,7,EV,EWR,0,0,30,0
RSW,5,12,10,7,UA,EWR,0,9,29,0
PDX,5,25,10,6,HA,HNL,0,8,29,0
DTW,5,10,11,5,EV,EWR,1,17,29,0
ORD,5,28,10,2,9E,MSP,1,10,29,0
JFK,5,21,6,2,UA,LAX,0,3,29,0
IAH,5,20,11,1,UA,SEA,0,9,29,0
CLT,5,13,12,1,DL,ATL,0,9,30,0
SEA,5,20,6,1,UA,EWR,0,3,30,0
BWI,5,5,21,7,WN,ATL,1,10,30,0
SEA,5,12,15,7,WN,SJC,0,8,30,0
DCA,5,6,8,1,AA,DFW,0,11,29,0
JFK,5,6,17,1,MQ,DCA,0,10,30,0
BDL,5,8,6,3,WN,BWI,0,0,30,0
MSP,5,20,7,1,DL,LGA,1,10,29,0
LAX,5,8,8,3,OO,SEA,0,5,30,0
ATL,5,3,10,5,DL,MCI,0,17,29,0
MCO,5,18,11,6,UA,ORD,0,3,30,0
SFO,5,12,17,7,AA,DFW,0,24,30,0
SJU,5,13,16,1,UA,EWR,0,7,29,0
BNA,5,10,12,5,WN,EWR,0,13,29,0
OKC,5,1,21,3,WN,HOU,0,30,30,0
SEA,5,5,14,7,AS,DEN,0,16,29,0
CLT,5,13,9,1,US,DEN,1,7,30,0
LAS,5,21,10,2,WN,IND,0,3,29,0
MKE,5,15,14,3,F9,DEN,0,6,29,0
PHX,5,21,20,2,WN,SJC,1,6,29,0
OGG,5,10,7,5,HA,HNL,0,0,30,0
ATL,5,23,15,4,DL,EWR,1,14,29,0
HNL,5,17,19,5,UA,ORD,0,9,30,0
ATL,5,18,16,6,DL,CLT,0,9,29,0
BWI,5,10,20,5,WN,ORF,1,5,29,0
JFK,5,4,11,6,MQ,DCA,0,13,30,0
ORD,5,28,9,2,DL,DTW,0,10,29,0
ORD,5,31,11,5,EV,BNA,1,15,29,0
PHX,5,31,12,5,US,DCA,0,7,29,0
LAX,5,24,9,5,VX,SFO,0,5,29,0
SFO,5,26,9,7,OO,LAX,0,15,29,0
MEM,5,10,8,5,DL,MSP,0,6,29,0
SJC,5,21,6,2,UA,DEN,0,7,29,0
JFK,5,27,10,1,US,PHX,0,10,30,0
STL,5,23,7,4,WN,MDW,0,13,29,0
SAT,5,27,6,1,YV,ORD,0,10,29,0
ORD,5,17,13,5,EV,SDF,1,11,30,0
CLT,5,5,7,7,US,SEA,0,17,29,0
IAD,5,8,9,3,B6,BOS,0,5,30,0
LAX,5,27,9,1,OO,ABQ,0,5,29,0
DTW,5,30,19,4,9E,MEM,0,8,30,0
CLT,5,14,19,2,YV,IAD,0,8,30,0
MIA,5,12,7,7,AA,IAH,0,3,30,0
LAX,5,29,22,3,UA,IAD,1,5,29,0
ORD,5,21,13,2,UA,RDU,1,18,29,0
LAS,5,25,11,6,DL,DTW,0,17,29,0
ATL,5,19,14,7,FL,BUF,1,11,29,0
PDX,5,21,10,2,VX,SFO,0,0,29,0
HOU,5,4,12,6,WN,LAX,1,14,30,0
JFK,5,17,19,5,AA,BOS,0,6,30,0
SEA,5,28,9,2,WN,PHX,1,6,29,0
CLT,5,31,20,5,US,RIC,0,6,30,0
PHX,5,17,7,5,WN,SNA,0,8,29,0
SFO,5,4,15,6,OO,RNO,0,7,29,0
TPA,5,16,7,4,UA,EWR,0,6,30,0
SAT,5,31,11,5,EV,MEM,0,14,29,0
BUR,5,20,15,1,WN,OAK,0,11,29,0
MDW,5,4,10,6,WN,MCO,0,9,29,0
RDU,5,27,6,1,B6,JFK,0,3,30,0
BOS,5,22,13,3,9E,JFK,1,11,29,0
ORD,5,17,15,5,AA,MCO,1,14,30,0
SEA,5,13,13,1,DL,MSP,1,10,29,0
MSY,5,30,6,4,WN,HOU,0,8,29,0
DCA,5,21,7,2,UA,IAH,0,6,30,0
LAS,5,5,21,7,WN,SFO,1,10,29,0
JFK,5,15,19,3,AA,LAX,0,14,29,0
DTW,5,8,17,3,DL,BDL,1,11,29,0
MIA,5,7,8,2,YV,IAD,0,5,30,0
CLT,5,25,14,6,DL,ATL,0,3,30,0
LAX,5,12,13,7,OO,SMF,0,13,30,0
SFO,5,8,15,3,UA,BWI,1,17,30,0
OAK,5,15,19,3,WN,PDX,0,21,30,0
SLC,5,6,15,1,OO,ABQ,0,18,29,0
ORD,5,6,13,1,AA,MSP,0,16,30,0
CLT,5,20,9,1,US,JFK,0,0,29,0
DTW,5,23,7,4,DL,BOS,0,10,29,0
LAX,5,11,14,6,WN,PHX,0,14,29,0
BOS,5,9,13,4,B6,SJU,1,6,29,0
IAH,5,16,6,4,UA,DEN,0,6,29,0
ORD,5,29,11,3,EV,CVG,0,6,29,0
TPA,5,22,8,3,DL,MSP,1,3,29,0
CLT,5,20,14,1,US,MCO,0,3,30,0
EWR,5,24,9,5,EV,STL,0,20,29,0
DCA,5,13,9,1,UA,ORD,0,15,30,0
BWI,5,28,14,2,MQ,JFK,1,0,30,0
ATL,5,7,13,2,EV,DAL,0,3,29,0
RNO,5,24,6,5,DL,SLC,0,0,29,0
LAX,5,23,6,4,US,PHX,0,3,29,0
SEA,5,12,11,7,AS,AUS,0,6,30,0
ORD,5,24,6,5,US,PHL,0,9,30,0
AUS,5,13,6,1,B6,JFK,0,0,30,0
MKE,5,27,18,1,9E,DTW,0,15,29,0
ORD,5,9,21,4,MQ,BWI,1,9,29,0
BWI,5,27,19,1,B6,BOS,0,3,30,0
PDX,5,21,5,2,US,PHX,0,3,29,0
BOS,5,6,15,1,US,PHL,0,11,29,0
CLT,5,22,18,3,US,LAS,0,14,29,0
IAH,5,29,15,3,EV,BNA,0,21,29,0
JFK,5,20,9,1,B6,AUS,0,6,30,0
DCA,5,9,11,4,US,BOS,0,7,29,0
PHL,5,10,14,5,FL,PBI,0,9,29,0
IAD,5,7,17,2,YV,IND,0,13,29,0
DAL,5,12,13,7,WN,HOU,0,5,30,0
OGG,5,7,12,2,UA,SFO,0,10,29,0
MSP,5,1,15,3,DL,DTW,0,6,29,0
OAK,5,12,6,7,WN,MDW,0,0,30,0
DTW,5,13,12,1,DL,MKE,0,8,30,0
IAD,5,9,7,4,UA,SFO,0,5,29,0
ORD,5,16,12,4,UA,LAS,1,3,29,0
STL,5,24,10,5,WN,RSW,0,10,30,0
ORD,5,1,12,3,UA,LAX,0,5,30,0
IAH,5,5,15,7,UA,CLE,0,14,30,0
MKE,5,30,9,4,FL,DCA,0,28,29,0
LAX,5,29,10,3,OO,SAN,0,9,29,0
PHX,5,19,7,7,US,SEA,0,7,29,0
DTW,5,6,7,1,DL,LGA,0,6,30,0
SMF,5,21,6,2,US,PHX,0,8,29,0
LAS,5,1,21,3,WN,ABQ,1,15,30,0
ORD,5,21,10,2,9E,MSP,1,17,29,0
LAS,5,28,8,2,AA,DFW,0,9,29,0
BOS,5,9,9,4,US,LGA,0,6,29,0
SDF,5,20,14,1,DL,ATL,0,14,29,0
BUR,5,31,9,5,WN,PHX,0,3,29,0
ATL,5,24,10,5,OO,IAH,0,21,30,0
MDW,5,5,7,7,WN,LAS,0,7,30,0
SAT,5,6,7,1,WN,DAL,0,3,30,0
PHX,5,7,12,2,US,BOS,0,14,29,0
SJC,5,19,10,7,VX,LAX,0,9,30,0
SFO,5,29,17,3,UA,LAS,0,16,29,0
BWI,5,23,16,4,B6,BOS,0,9,29,0
PDX,5,10,11,5,WN,LAS,0,7,30,0
BOS,5,10,7,5,DL,MCO,0,5,29,0
ATL,5,21,21,2,FL,BOS,1,5,29,0
MIA,5,17,9,5,AA,ORD,0,0,30,0
OKC,5,7,6,2,EV,EWR,0,0,30,0
IAD,5,7,17,2,UA,BOS,1,13,29,0
OAK,5,6,18,1,AS,SEA,0,11,29,0
SLC,5,31,16,5,DL,PDX,0,10,30,0
LAX,5,21,8,2,DL,MSP,0,3,29,0
SJC,5,20,9,1,WN,DEN,1,3,30,0
DCA,5,14,14,2,US,LGA,0,6,30,0
SLC,5,14,15,2,OO,DEN,0,5,29,0
SLC,5,4,7,6,F9,DEN,0,5,29,0
PHX,5,4,8,6,US,MCI,0,14,29,0
HOU,5,3,15,5,WN,BWI,0,22,30,0
IAH,5,10,8,5,EV,ABQ,1,8,29,0
CLT,5,10,22,5,US,PHX,0,5,29,0
JFK,5,28,13,2,AA,MIA,0,7,30,0
ABQ,5,21,11,2,WN,DEN,1,3,29,0
BUR,5,23,13,4,WN,OAK,0,11,29,0
JFK,5,7,8,2,UA,SFO,0,7,30,0
MIA,5,13,9,1,DL,ATL,1,0,30,0
BNA,5,7,16,2,WN,MCO,0,0,29,0
IAD,5,7,16,2,UA,SFO,0,11,29,0
PHL,5,31,10,5,B6,BOS,0,5,30,0
LAS,5,5,18,7,UA,LAX,1,16,29,0
MSP,5,17,15,5,FL,ATL,0,11,29,0
DCA,5,13,16,1,AA,DFW,0,16,30,0
PIT,5,30,7,4,US,PHL,0,0,30,0
ORD,5,3,19,5,AA,STL,1,9,29,0
MCO,5,23,14,4,FL,STL,0,0,29,0
PHL,5,28,13,2,US,ORD,0,7,30,0
BOS,5,2,10,4,US,LGA,0,7,30,0
PHL,5,12,17,7,US,DCA,1,24,29,0
SLC,5,16,21,4,DL,SAN,0,13,29,0
BOS,5,22,14,3,DL,MSP,0,13,29,0
BOS,5,29,17,3,B6,DCA,0,8,29,0
PHL,5,7,8,2,VX,LAX,0,13,29,0
RSW,5,24,7,5,B6,BOS,0,6,30,0
LGA,5,28,17,2,YV,CLT,1,10,29,0
LAX,5,1,12,3,OO,OAK,0,11,30,0
ORF,5,31,10,5,9E,DTW,1,8,30,0
SFO,5,22,10,3,WN,DEN,0,16,30,0
MSP,5,30,15,4,DL,DCA,0,15,29,0
SFO,5,10,11,5,UA,EWR,1,15,29,0
BWI,5,7,12,2,WN,HOU,0,15,29,0
DCA,5,3,20,5,AA,MIA,1,9,30,0
ORD,5,20,9,1,MQ,BWI,0,14,29,0
CLT,5,27,20,1,US,DFW,1,8,30,0
LAX,5,10,22,5,UA,LAS,0,0,29,0
MDW,5,22,13,3,WN,BOS,1,11,29,0
ATL,5,19,10,7,DL,DTW,1,5,30,0
RDU,5,20,16,1,WN,BWI,0,3,30,0
TPA,5,31,8,5,UA,DEN,0,10,30,0
PHX,5,14,10,2,WN,ABQ,0,5,29,0
MDW,5,29,10,3,WN,LAS,0,3,29,0
BDL,5,31,17,5,US,CLT,1,10,29,0
IAH,5,30,15,4,UA,LGA,0,20,29,0
FLL,5,1,12,3,WN,JAX,0,9,29,0
BWI,5,28,21,2,WN,BUF,1,0,30,0
MIA,5,5,15,7,MQ,BNA,0,8,29,0
ANC,5,3,15,5,AS,SEA,0,11,29,0
MDW,5,11,7,6,WN,ATL,0,11,29,0
EWR,5,24,15,5,EV,BNA,1,18,29,0
DCA,5,19,12,7,US,CLT,1,3,29,0
ATL,5,8,19,3,DL,IAH,0,6,30,0
BWI,5,21,14,2,MQ,JFK,1,6,29,0
SEA,5,29,8,3,UA,ORD,0,7,29,0
LAX,5,2,6,4,WN,MCI,0,7,30,0
DTW,5,8,17,3,DL,LGA,1,11,29,0
OKC,5,25,17,6,EV,IAH,0,14,30,0
MKE,5,27,17,1,WN,MCI,0,17,29,0
MSY,5,13,10,1,WN,DAL,0,5,30,0
IAD,5,8,8,3,UA,SAN,0,3,30,0
SFO,5,23,20,4,UA,SAN,1,17,30,0
FLL,5,24,17,5,WN,MSY,0,8,30,0
